timestamp,accel_x_1,accel_y_1,accel_z_1,gyro_roll_1,gyro_pitch_1,gyro_yaw_1,pressure_alt,gps_lat,gps_lon,gps_alt,ecef_x,ecef_y,ecef_z
13867.063500,9.72,-1.82,-0.02,-3.00,1.00,3.00,100166.00,67.89350,21.10510,318.09000,2245846.75,866829.82,5886928.74
13867.163500,9.71,-1.81,-0.02,-3.00,-0.00,2.00,100166.00,67.89350,21.10510,318.09000,2245846.75,866829.82,5886928.74
13867.264900,9.71,-1.80,-0.04,7.00,2.00,0.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13867.364900,9.71,-1.80,-0.02,0.00,7.00,2.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13867.464900,9.71,-1.82,-0.04,0.00,-1.00,4.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13867.564900,9.72,-1.81,-0.04,-3.00,6.00,-2.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13867.664900,9.71,-1.82,-0.02,4.00,-0.00,0.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13867.764900,9.72,-1.82,-0.02,-3.00,-0.00,-1.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13867.896400,9.73,-1.81,-0.02,8.00,4.00,1.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13867.964900,9.72,-1.81,-0.03,5.00,-0.00,1.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13868.064900,9.71,-1.82,-0.02,2.00,4.00,4.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13868.164900,9.71,-1.82,-0.04,5.00,1.00,5.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13868.264900,9.70,-1.82,-0.02,-2.00,-4.00,3.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13868.364800,9.71,-1.81,-0.02,0.00,1.00,-4.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13868.464700,9.72,-1.80,-0.04,-4.00,-0.00,-3.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13868.564900,9.71,-1.81,-0.01,-1.00,-0.00,1.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13868.664900,9.71,-1.81,-0.01,-1.00,-0.00,4.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13868.764900,9.71,-1.81,-0.02,11.00,3.00,-6.00,100166.00,67.89350,21.10510,318.09000,2245846.36,866829.67,5886927.73
13868.864900,9.71,-1.80,-0.02,1.00,3.00,1.00,100166.00,67.89350,21.10510,325.02000,2245846.36,866829.67,5886927.73
13868.990500,9.71,-1.81,-0.03,-6.00,-3.00,7.00,100166.00,67.89350,21.10510,325.02000,2245846.36,866829.67,5886927.73
13869.064900,9.72,-1.81,-0.01,0.00,-0.00,-3.00,100166.00,67.89350,21.10510,325.02000,2245846.36,866829.67,5886927.73
13869.164900,9.73,-1.82,-0.02,6.00,-10.00,0.00,100166.00,67.89350,21.10510,325.02000,2245846.36,866829.67,5886927.73
13869.263900,9.71,-1.80,-0.01,-1.00,-3.00,0.00,100166.00,67.89340,21.10510,325.02000,2245858.44,866834.33,5886929.95
13869.364200,9.73,-1.80,-0.02,6.00,-6.00,-1.00,100166.00,67.89340,21.10510,325.02000,2245858.44,866834.33,5886929.95
13869.464100,9.72,-1.81,-0.02,2.00,-5.00,4.00,100166.00,67.89340,21.10510,325.02000,2245858.44,866834.33,5886929.95
13869.564100,9.71,-1.80,-0.02,1.00,5.00,0.00,100166.00,67.89340,21.10510,325.02000,2245858.44,866834.33,5886929.95
